,going left to right per row and then going down each row; the jumping back to column 0 of row i+1,,,,,,,,,,,,,,,
,Location ,time batch (per 15 seconds),,,,,,225,,,,,,,,
row,column,ppk control 1 15 min at 4x speed 3min 52 sec,,,,,,,,,Time per entry,,average time,,,
2,10,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
3,1,0:47,0:51,,47,51,,188,204,,16,,9.333333333,,,
,,1:37,1:39,,97,99,,388,396,,8,,,,,
,,1:51,1:52,,111,112,,444,448,,4,,,,,
,,1:58,1:59,,118,119,,472,476,,4,,,,,
,,2:19,2:22,,139,142,,556,568,,12,,,,,
,,2:26,2:29,,146,149,,584,596,,12,,,,,
,,3:29,3:31,,209,211,,836,844,,8,,,,,
,,3:33,3:35,,213,215,,852,860,,8,,,,,
,,3:42,3:45,,222,225,,888,900,,12,,,,,
3,2,0:10,0:11,,10,11,,40,44,,4,,7.428571429,,,
,,1:36,1:36,,96,96,,384,384,,0,,,,,
,,1:49,1:51,,109,111,,436,444,,8,,,,,
,,1:59,2:02,,119,122,,476,488,,12,,,,,
,,2:10,2:11,,130,131,,520,524,,4,,,,,
,,2:22,2:24,,142,144,,568,576,,8,,,,,
,,3:29,3:33,,209,213,,836,852,,16,,,,,
3,3,0:06,0:10,,6,10,,24,40,,16,,10.5,,,
,,2:02,2:06,,122,126,,488,504,,16,,,,,
,,2:09,2:10,,129,130,,516,520,,4,,,,,
,,2:24,2:27,,144,147,,576,588,,12,,,,,
,,2:38,2:41,,158,161,,632,644,,12,,,,,
,,2:47,2:48,,167,168,,668,672,,4,,,,,
,,2:59,3:02,,179,182,,716,728,,12,,,,,
,,3:27,3:29,,207,209,,828,836,,8,,,,,
3,4,0:03,0:06,,3,6,,12,24,,12,,12.66666667,,,
,,1:14,1:18,,74,78,,296,312,,16,,,,,
,,1:27,1:28,,87,88,,348,352,,4,,,,,
,,2:27,2:32,,147,152,,588,608,,20,,,,,
,,2:48,2:52,,168,172,,672,688,,16,,,,,
,,3:25,3:27,,205,207,,820,828,,8,,,,,
3,5,0:01,0:03,,1,3,,4,12,,8,,8.8,,,
,,0:02,0:05,,2,5,,8,20,,12,,,,,
,,1:25,1:27,,85,87,,340,348,,8,,,,,
,,2:40,2:42,,160,162,,640,648,,8,,,,,
,,3:22,3:24,,202,204,,808,816,,8,,,,,
3,6,3:18,3:21,,198,201,,792,804,,12,,8,,,
,,3:20,3:22,,200,202,,800,808,,8,,,,,
,,3:42,3:43,,222,223,,888,892,,4,,,,,
3,7,0:17,0:18,,17,18,,68,72,,4,,6,,,
,,3:43,3:45,,223,225,,892,900,,8,,,,,
3,8,0:15,0:17,,15,17,,60,68,,8,,10,,,
,,0:25,0:28,,25,28,,100,112,,12,,,,,
,,2:50,2:53,,170,173,,680,692,,12,,,,,
,,3:09,3:11,,189,191,,756,764,,8,,,,,
3,9,0:15,0:18,,15,18,,60,72,,12,,7.333333333,,,
,,0:22,0:23,,22,23,,88,92,,4,,,,,
,,0:24,0:25,,24,25,,96,100,,4,,,,,
,,1:28,1:29,,88,89,,352,356,,4,,,,,
,,2:53,2:54,,173,174,,692,696,,4,,,,,
,,3:41,3:45,,221,225,,884,900,,16,,,,,
3,10,0:23,0:26,,23,26,,92,104,,12,,3,,,
4,1,0:44,0:46,,44,46,,176,184,,8,,10,,,
,,0:51,0:54,,51,54,,204,216,,12,,,,,
,,1:39,1:41,,99,101,,396,404,,8,,,,,
,,1:52,1:58,,112,118,,448,472,,24,,,,,
,,2:16,2:19,,136,139,,544,556,,12,,,,,
,,2:24,2:26,,144,146,,576,584,,8,,,,,
,,3:26,3:28,,206,208,,824,832,,8,,,,,
,,3:35,3:37,,215,217,,860,868,,8,,,,,
,,3:38,3:40,,218,220,,872,880,,8,,,,,
,,3:41,3:42,,221,222,,884,888,,4,,,,,
4,2,0:11,0:15,,11,15,,44,60,,16,,8.8,,,
,,0:57,0:59,,57,59,,228,236,,8,,,,,
,,1:35,1:36,,95,96,,380,384,,4,,,,,
,,2:12,2:14,,132,134,,528,536,,8,,,,,
,,3:32,3:34,,212,214,,848,856,,8,,,,,
4,3,0:58,1:01,,58,61,,232,244,,12,,23,,,
,,0:59,1:06,,59,66,,236,264,,28,,,,,
,,1:32,1:34,,92,94,,368,376,,8,,,,,
,,2:32,2:47,,152,167,,608,668,,60,,,,,
,,2:41,2:48,,161,168,,644,672,,28,,,,,
,,2:52,2:56,,172,176,,688,704,,16,,,,,
,,2:54,2:59,,174,179,,696,716,,20,,,,,
,,3:29,3:32,,209,212,,836,848,,12,,,,,
4,4,1:06,1:10,,66,70,,264,280,,16,,12.8,,,
,,1:14,1:15,,74,75,,296,300,,4,,,,,
,,1:18,1:22,,78,82,,312,328,,16,,,,,
,,1:28,1:32,,88,92,,352,368,,16,,,,,
,,3:26,3:29,,206,209,,824,836,,12,,,,,
4,5,0:00,0:01,,0,1,,0,4,,4,,9.5,,,
,,0:05,0:07,,5,7,,20,28,,8,,,,,
,,0:37,0:39,,37,39,,148,156,,8,,,,,
,,0:51,0:55,,51,55,,204,220,,16,,,,,
,,1:22,1:24,,82,84,,328,336,,8,,,,,
,,1:32,1:36,,92,96,,368,384,,16,,,,,
,,2:38,2:39,,158,159,,632,636,,4,,,,,
,,3:23,3:26,,203,206,,812,824,,12,,,,,
4,6,0:07,0:10,,7,10,,28,40,,12,,10.28571429,,,
,,0:19,0:21,,19,21,,76,84,,8,,,,,
,,0:35,0:37,,35,37,,140,148,,8,,,,,
,,1:08,1:10,,68,70,,272,280,,8,,,,,
,,1:36,1:41,,96,101,,384,404,,20,,,,,
,,2:11,2:13,,131,133,,524,532,,8,,,,,
