15 min light on (5:40) 5 min light off (),,,,,0 top ,,,340,,,,,,,,
row ,column ,entry time ,exit time,,in video seconds,,,normalized ,,,in time seconds,,,sub time,,mean
,,2:23,2:29,,143,149,,0.4205882353,0.4382352941,,378.5294118,394.4117647,,15.88235294,,
,,3:14,3:18,,194,198,,0.5705882353,0.5823529412,,513.5294118,524.1176471,,10.58823529,,
,,3:35,3:40,,215,220,,0.6323529412,0.6470588235,,569.1176471,582.3529412,,13.23529412,,
,,4:07,4:14,,247,254,,0.7264705882,0.7470588235,,653.8235294,672.3529412,,18.52941176,,
,,4:24,4:28,,264,268,,0.7764705882,0.7882352941,,698.8235294,709.4117647,,10.58823529,,
,,5:16,5:21,,316,321,,0.9294117647,0.9441176471,,836.4705882,849.7058824,,13.23529412,,
,,5:25,5:28,,325,328,,0.9558823529,0.9647058824,,860.2941176,868.2352941,,7.941176471,,
,,5:31,5:36,,331,336,,0.9735294118,0.9882352941,,876.1764706,889.4117647,,13.23529412,,
4,5,0:00,0:05,,0,5,,0,0.01470588235,,0,13.23529412,,13.23529412,,12.20588235
,,0:53,0:58,,53,58,,0.1558823529,0.1705882353,,140.2941176,153.5294118,,13.23529412,,
,,1:16,1:21,,76,81,,0.2235294118,0.2382352941,,201.1764706,214.4117647,,13.23529412,,
,,1:41,1:48,,101,108,,0.2970588235,0.3176470588,,267.3529412,285.8823529,,18.52941176,,
,,1:42,1:47,,102,107,,0.3,0.3147058824,,270,283.2352941,,13.23529412,,
,,1:47,1:52,,107,112,,0.3147058824,0.3294117647,,283.2352941,296.4705882,,13.23529412,,
,,2:04,2:11,,124,131,,0.3647058824,0.3852941176,,328.2352941,346.7647059,,18.52941176,,
,,2:21,2:25,,141,145,,0.4147058824,0.4264705882,,373.2352941,383.8235294,,10.58823529,,
,,2:29,2:33,,149,153,,0.4382352941,0.45,,394.4117647,405,,10.58823529,,
,,3:06,3:13,,186,193,,0.5470588235,0.5676470588,,492.3529412,510.8823529,,18.52941176,,
,,3:40,3:45,,220,225,,0.6470588235,0.6617647059,,582.3529412,595.5882353,,13.23529412,,
,,4:26,4:29,,266,269,,0.7823529412,0.7911764706,,704.1176471,712.0588235,,7.941176471,,
,,4:28,4:30,,268,270,,0.7882352941,0.7941176471,,709.4117647,714.7058824,,5.294117647,,
,,4:37,4:39,,277,279,,0.8147058824,0.8205882353,,733.2352941,738.5294118,,5.294117647,,
,,4:57,5:02,,297,302,,0.8735294118,0.8882352941,,786.1764706,799.4117647,,13.23529412,,
,,5:01,5:03,,301,303,,0.8852941176,0.8911764706,,796.7647059,802.0588235,,5.294117647,,
,,5:19,5:24,,319,324,,0.9382352941,0.9529411765,,844.4117647,857.6470588,,13.23529412,,
,,5:19,5:24,,319,324,,0.9382352941,0.9529411765,,844.4117647,857.6470588,,13.23529412,,
4,6,0:04,0:09,,4,9,,0.01176470588,0.02647058824,,10.58823529,23.82352941,,13.23529412,,13.38235294
,,0:32,0:39,,32,39,,0.09411764706,0.1147058824,,84.70588235,103.2352941,,18.52941176,,
,,0:46,0:53,,46,53,,0.1352941176,0.1558823529,,121.7647059,140.2941176,,18.52941176,,
,,1:02,1:09,,62,69,,0.1823529412,0.2029411765,,164.1176471,182.6470588,,18.52941176,,
,,1:12,1:16,,72,76,,0.2117647059,0.2235294118,,190.5882353,201.1764706,,10.58823529,,
,,1:20,1:24,,80,84,,0.2352941176,0.2470588235,,211.7647059,222.3529412,,10.58823529,,
,,1:48,1:54,,108,114,,0.3176470588,0.3352941176,,285.8823529,301.7647059,,15.88235294,,
,,2:13,2:21,,133,141,,0.3911764706,0.4147058824,,352.0588235,373.2352941,,21.17647059,,
,,2:42,2:48,,162,168,,0.4764705882,0.4941176471,,428.8235294,444.7058824,,15.88235294,,
,,2:49,2:52,,169,172,,0.4970588235,0.5058823529,,447.3529412,455.2941176,,7.941176471,,
,,2:55,3:00,,175,180,,0.5147058824,0.5294117647,,463.2352941,476.4705882,,13.23529412,,
,,3:01,3:06,,181,186,,0.5323529412,0.5470588235,,479.1176471,492.3529412,,13.23529412,,
,,3:14,3:15,,194,195,,0.5705882353,0.5735294118,,513.5294118,516.1764706,,2.647058824,,
,,3:14,3:18,,194,198,,0.5705882353,0.5823529412,,513.5294118,524.1176471,,10.58823529,,
,,4:39,4:46,,279,286,,0.8205882353,0.8411764706,,738.5294118,757.0588235,,18.52941176,,
,,4:50,4:52,,290,292,,0.8529411765,0.8588235294,,767.6470588,772.9411765,,5.294117647,,
,,5:03,5:09,,303,309,,0.8911764706,0.9088235294,,802.0588235,817.9411765,,15.88235294,,
,,5:15,5:19,,315,319,,0.9264705882,0.9382352941,,833.8235294,844.4117647,,10.58823529,,
4,7,0:00,0:05,,0,5,,0,0.01470588235,,0,13.23529412,,13.23529412,,11.52249135
,,0:00,0:08,,0,8,,0,0.02352941176,,0,21.17647059,,21.17647059,,
,,0:10,0:13,,10,13,,0.02941176471,0.03823529412,,26.47058824,34.41176471,,7.941176471,,
,,0:39,0:40,,39,40,,0.1147058824,0.1176470588,,103.2352941,105.8823529,,2.647058824,,
,,1:26,1:33,,86,93,,0.2529411765,0.2735294118,,227.6470588,246.1764706,,18.52941176,,
,,1:38,1:43,,98,103,,0.2882352941,0.3029411765,,259.4117647,272.6470588,,13.23529412,,
,,2:08,2:11,,128,131,,0.3764705882,0.3852941176,,338.8235294,346.7647059,,7.941176471,,
,,2:52,2:55,,172,175,,0.5058823529,0.5147058824,,455.2941176,463.2352941,,7.941176471,,
,,2:50,3:00,,170,180,,0.5,0.5294117647,,450,476.4705882,,26.47058824,,
,,3:15,3:20,,195,200,,0.5735294118,0.5882352941,,516.1764706,529.4117647,,13.23529412,,
,,4:44,4:46,,284,286,,0.8352941176,0.8411764706,,751.7647059,757.0588235,,5.294117647,,
